Etunimi,Lukumäärä
Tuula,"31,950"
Ritva,"30,762"
Anne,"30,715"
Anna,"30,494"
Päivi,"30,397"
Leena,"29,662"
Pirjo,"29,011"
Sari,"27,942"
Minna,"27,873"
Marja,"27,687"
Riitta,"26,212"
Tiina,"26,057"
Tarja,"25,184"
Pirkko,"24,965"
Laura,"23,626"
Eeva,"23,138"
Seija,"22,930"
Liisa,"22,894"
Aino,"22,848"
Anja,"22,727"
Raija,"22,456"
Sirpa,"21,948"
Eila,"21,919"
Jaana,"21,638"
Satu,"21,625"
Heidi,"21,430"
Hanna,"21,414"
Sanna,"21,158"
Eija,"20,650"
Maria,"20,261"
Merja,"19,998"
Kirsi,"19,546"
Johanna,"19,529"
Arja,"19,304"
Maija,"19,077"
Paula,"18,308"
Ulla,"18,151"
Sirkka,"18,143"
Jenni,"16,874"
Elina,"16,239"
Katja,"15,841"
Raili,"15,429"
Terttu,"15,333"
Mari,"15,171"
Heli,"15,165"
Hilkka,"14,970"
Anni,"14,959"
Nina,"14,896"
Kirsti,"14,488"
Mirja,"14,193"
Emma,"13,530"
Helena,"13,052"
Kaija,"12,924"
Anu,"12,662"
Tuija,"12,515"
Niina,"11,747"
Sara,"11,521"
Kaisa,"11,479"
Irma,"11,419"
Suvi,"11,228"
Aila,"11,199"
Saara,"11,182"
Pia,"11,145"
Emilia,"11,138"
Tanja,"10,985"
Leila,"10,931"
Jenna,"10,719"
Katri,"10,698"
Ella,"10,605"
Maarit,"10,501"
Lea,"10,496"
Kati,"10,453"
Irja,"10,428"
Henna,"10,392"
Marjo,"10,383"
Noora,"10,033"
Sofia,"10,023"
Veera,"9,975"
Susanna,"9,768"
Kerttu,"9,699"
Riikka,"9,684"
Marja-Leena,"9,645"
Sinikka,"9,437"
Julia,"9,403"
Outi,"9,345"
Iida,"9,336"
Taina,"9,269"
Mervi,"9,251"
Helmi,"8,914"
Virpi,"8,860"
Jonna,"8,847"
Milla,"8,772"
Marja-Liisa,"8,485"
Emmi,"8,464"
Miia,"8,393"
Sonja,"8,186"
Tiia,"8,088"
Venla,"8,013"
Marika,"7,756"
Aune,"7,673"
Sisko,"7,522"
Terhi,"7,511"
Elli,"7,504"
Elsa,"7,504"
Siiri,"7,484"
Lotta,"7,402"
Sini,"7,282"
Sanni,"7,260"
Annika,"7,154"
Teija,"7,075"
Maire,"7,054"
Mira,"7,020"
Ida,"6,929"
Vilma,"6,921"
Anita,"6,753"
Mia,"6,728"
Oona,"6,566"
Airi,"6,519"
Essi,"6,448"
Nea,"6,277"
Piia,"6,247"
