Etunimi,Lukumäärä
Timo,"45,777"
Juha,"45,542"
Matti,"45,473"
Kari,"41,643"
Mikko,"39,239"
Antti,"38,797"
Jari,"38,463"
Jukka,"34,887"
Markku,"34,160"
Mika,"33,851"
Pekka,"33,810"
Hannu,"31,134"
Heikki,"30,684"
Seppo,"29,587"
Janne,"27,790"
Ari,"27,554"
Sami,"26,350"
Ville,"25,776"
Marko,"25,343"
Petri,"24,370"
Erkki,"23,898"
Lauri,"23,849"
Pentti,"23,462"
Jani,"22,900"
Jorma,"21,795"
Harri,"20,397"
Teemu,"20,342"
Eero,"19,755"
Raimo,"19,634"
Jaakko,"19,132"
Risto,"19,098"
Jarmo,"19,055"
Pasi,"18,246"
Jussi,"18,216"
Martti,"17,634"
Pertti,"17,630"
Esa,"17,559"
Juho,"17,259"
Jouni,"17,016"
Reijo,"16,949"
Niko,"16,822"
Toni,"16,802"
Veikko,"16,748"
Arto,"16,684"
Jouko,"16,001"
Markus,"15,833"
Vesa,"15,768"
Esko,"15,689"
Tomi,"15,537"
Olli,"15,445"
Tuomas,"15,362"
Aleksi,"15,057"
Kimmo,"14,978"
Joni,"14,555"
Tommi,"14,413"
Tero,"14,049"
Joonas,"13,087"
Henri,"12,665"
Eetu,"12,032"
Paavo,"11,724"
Kalle,"11,615"
Ilkka,"11,594"
Jarkko,"11,447"
Pauli,"11,365"
Leo,"11,265"
Jesse,"10,954"
Eino,"10,867"
Tuomo,"10,858"
Joona,"10,374"
Tapio,"10,059"
Veli,"9,832"
Jere,"9,800"
Juuso,"9,460"
Keijo,"9,379"
Mikael,"9,363"
Elias,"9,301"
Matias,"9,122"
Simo,"9,116"
Onni,"9,062"
Jyrki,"8,903"
Arttu,"8,803"
Lasse,"8,799"
Juhani,"8,403"
Toivo,"8,177"
Mauri,"8,136"
Aki,"8,107"
Leevi,"8,023"
Kai,"7,986"
Kauko,"7,866"
Riku,"7,862"
Väinö,"7,762"
Reino,"7,650"
Otto,"7,505"
Niklas,"7,491"
Joel,"7,453"
Miika,"7,415"
Jarno,"7,345"
Rauno,"7,193"
Teuvo,"7,077"
Jan,"7,076"
Niilo,"6,877"
Valtteri,"6,753"
Veeti,"6,745"
Daniel,"6,701"
Olavi,"6,398"
Tauno,"6,385"
Ossi,"6,276"
Rasmus,"6,198"
Veijo,"6,116"
Ismo,"6,049"
Roope,"6,001"
Santeri,"5,848"
Anssi,"5,796"
Osmo,"5,789"
Kalevi,"5,718"
Atte,"5,612"
Oskari,"5,583"
Asko,"5,525"
Aaro,"5,511"
Vilho,"5,498"
Anton,"5,449"
Samuli,"5,344"
Miro,"5,308"
Aimo,"5,147"
Samu,"5,134"
Taisto,"5,061"
Yrjö,"5,035"
Oliver,"5,030"
